time,f0,VUV,NAQ,QOQ,H1H2,PSP,MDQ,peakSlope,MCEP_0,MCEP_1,MCEP_2,MCEP_3,MCEP_4,MCEP_5,MCEP_6,MCEP_7,MCEP_8,MCEP_9,MCEP_10,MCEP_11,MCEP_12,MCEP_13,MCEP_14,MCEP_15,MCEP_16,MCEP_17,MCEP_18,MCEP_19,MCEP_20,MCEP_21,MCEP_22,MCEP_23,MCEP_24,F1,F2,F3,F4,F5,VAD
0.005,0,0,0,0,0,0,0,0,-8.543752339,3.435797372,-1.105624994,1.798802971,-0.142159743,-0.19486251,-0.20275012,-0.03289759,0.398461601,-0.302240438,0.258471528,-0.334327808,0.210877458,0.198662104,-0.582552665,0.425344614,-0.114897151,-0.199960201,0.328732863,-0.230636156,0.038992943,0.177790547,-0.148699142,-0.017090862,0.095462291,581.8409438,3938.024072,6782.840944,9270.174436,10865.03028,0
0.015,0,0,0,0,0,0,0,0,-8.23870888,3.902250067,-1.1499579,2.050807437,0.088307694,-0.313585527,-0.10733077,-0.231469392,0.361281959,-0.311199386,0.213042709,-0.313854755,0.072859981,0.48570036,-0.638835796,0.301586352,-0.038847773,-0.27416151,0.496928688,-0.315688737,0.004036349,0.219293221,-0.211742601,0.029958667,0.051449226,560,3858.549898,6730.235405,9259,10704.50942,0
0.025,0,0,0,0,0,0,0,-0.38891833,-7.995380685,3.976954465,-1.232268501,2.163538356,0.200285378,-0.143281808,-0.194345603,-0.196159542,0.319880819,-0.405509898,0.328147054,-0.365625975,-0.025697317,0.640743226,-0.743284077,0.244609357,0.091410587,-0.332777829,0.525062649,-0.254581609,-0.121933719,0.278311551,-0.233211027,0.028884622,0.115853339,600.3617354,4126.191323,6686.674905,9289.505963,10596.63826,0.011381655
0.035,0,0,0,0,0,0,0,-0.403790517,-7.857784077,4.170291516,-1.166544828,2.096875575,0.10717939,-0.086685091,-0.30263593,-0.211107129,0.509621769,-0.425141805,0.249533508,-0.349501085,-0.078996454,0.656261422,-0.721311048,0.219040572,0.135531452,-0.266014992,0.40854684,-0.265830208,-0.012388802,0.187597289,-0.230172352,0.062469721,0.115093456,635.9251392,3927.308686,6625.999541,9313.925139,10649.91682,0.020074687
0.045,0,0,0,0,0,0,0,-0.411871692,-7.74574989,4.131631608,-1.082830445,2.260602874,-0.087468449,-0.001338503,-0.204855564,-0.463262271,0.628972955,-0.300365938,0.097694965,-0.240154474,-0.171732992,0.600753306,-0.549951299,0.067574636,0.102978307,-0.10399856,0.292827289,-0.323478238,0.169073669,0.085766713,-0.263393717,0.164013785,-0.001361647,1739.541684,4394.730141,6538.972694,9302,10737.97269,0.026268048
0.055,282.5,1,0.110341786,0.593601279,10.02098827,0.171154659,0.086194973,-0.390242722,-7.766025879,4.077971785,-1.067331907,2.270709748,-0.07632516,0.044208371,-0.152702404,-0.559662669,0.638794362,-0.292581307,0.078166776,-0.272351087,-0.165767547,0.549772904,-0.449005509,0.084298323,0.064023718,-0.083889276,0.293783611,-0.380508132,0.192720882,0.106638249,-0.255756413,0.147482766,-0.011780457,3140.713585,4903.147223,6531.287977,9367.715147,10702,0.13455984
0.065,283.5,1,0.094119855,0.348057858,1.980004191,0.390379649,0.10180694,-0.386516545,-7.697790633,4.056927417,-1.12350047,2.193303382,-0.047180156,0.1133376,-0.163367119,-0.491119,0.68708612,-0.428942441,0.042098946,-0.176777369,-0.159575312,0.461265113,-0.451256174,0.190742792,0.039339661,-0.172184543,0.377750176,-0.346498627,0.099309637,0.104699576,-0.160628849,0.076793744,-0.026231042,3183.224491,4894.124823,6558.675842,9380.102038,10638.00237,0.178781074
0.075,284.5,1,0.067986037,0.29838654,6.176175472,0.312233356,0.057227521,-0.393992384,-7.687597551,4.141437597,-1.145221869,2.092737249,-0.027978667,0.162991827,-0.189713011,-0.376554417,0.675278567,-0.477580585,0.093373952,-0.135069326,-0.286868473,0.470625379,-0.426212383,0.119546139,0.133596476,-0.146499717,0.309360684,-0.284187672,0.010725129,0.11016786,-0.071801686,0.040832233,-0.070593211,1938.063137,4211.685324,5879.891512,8144.284835,10533.2646,0.179655727
0.085,285.5,1,0.134769114,0.464783654,6.905390768,0.139580178,0.075582933,-0.396004286,-7.672833538,4.236213875,-1.1979,2.004369137,0.003692088,0.104701807,-0.129744817,-0.304119419,0.618642892,-0.410500415,0.157422249,-0.258450569,-0.316434044,0.541795071,-0.437053757,0.099853997,0.192782654,-0.222006469,0.289929626,-0.242725741,0.069562488,0.045865845,-0.09124909,0.10213423,-0.12097031,146.246302,3160.930009,4887.683707,6490.106319,10534.06999,0.179659505
0.095,286.5,1,0.125291742,0.460453694,7.385071164,0.152947323,0.060538467,-0.404899416,-7.871791351,4.326721175,-1.127759387,1.669296141,-0.001361674,0.102172169,-0.181003972,-0.315284258,0.537062146,-0.324463772,0.31220151,-0.346166757,-0.375849832,0.647197321,-0.559234772,0.10724293,0.290186764,-0.296171806,0.283218008,-0.190886568,0.019030664,0.085855045,-0.115383929,0.094712135,-0.061753585,1380.467467,3734.612337,5360.399754,7529.167013,10581.18375,0.260480041
0.105,288,1,0.141063262,0.467414621,8.02343572,0.211654097,0.07731992,-0.411721943,-8.540666785,4.61526974,-0.580493122,0.980516217,0.186216746,0.050448702,-0.322283855,-0.027008091,0.283638381,-0.469734469,0.572511964,-0.342773297,-0.345522902,0.705875684,-0.684834777,0.124174864,0.427797291,-0.430773132,0.222344857,-0.02334159,-0.119213814,0.178986285,-0.137250687,0.008545502,0.05041337,3224.19566,4718.591334,6144.872439,9172.549218,10634.85945,0.302039115
0.115,292,1,0.144194499,0.494108016,8.274658851,0.27542943,0.058979057,-0.411631916,-8.982739034,4.513288515,-0.156900195,1.211571769,0.128729807,-0.060595624,-0.314088525,-0.116670798,0.277236557,-0.515562314,0.44974788,-0.118620646,-0.361990644,0.581069925,-0.382909598,0.011640323,0.269919639,-0.284157042,0.220650277,-0.036733408,-0.234256515,0.143372432,0.100205902,-0.039189847,-0.14979625,2053.41291,4197.927436,5624.232576,7919.36982,10662.36898,0.304626502
0.125,296.5,1,0.154146518,0.462758092,12.58303086,0.220038734,0.085603709,-0.412538428,-9.492887273,4.530768528,-0.011372017,0.854859721,0.323391325,0.023330797,-0.292796409,-0.184734164,0.211062642,-0.386925642,0.185652008,-0.04277046,-0.336407405,0.561677555,-0.296037572,-0.323581023,0.400332315,-0.041085392,0.010680375,-0.01293845,-0.048036007,-0.031788837,0.110650177,-0.081603156,-0.058273578,187.2899248,3230,4888,5920.242903,10578.71008,0.304476635
0.135,298.5,1,0.144526371,0.450043338,14.95907791,0.224706984,0.116364303,-0.412222621,-9.41094187,4.317413834,-0.138721765,1.055646701,0.103248936,0.090789339,-0.022779451,-0.241811731,0.345109449,-0.399909114,0.076348212,0.098134425,-0.352582928,0.37039174,-0.03211225,-0.352270008,0.182130518,0.138824385,-0.117454615,0.086615168,0.092530361,-0.298563368,0.174850674,0.066296249,-0.225959802,281.7758402,3237.572518,4888,5827.02499,10573.37335,0.196089236
0.145,299.5,1,0.183867023,0.453250231,16.74479844,0.239991864,0.116388434,-0.408174799,-9.277067334,4.397137932,-0.271898391,1.10272521,0.189154831,-0.145991636,0.017552545,-0.087201347,0.012050918,-0.277191608,0.060809329,-0.053975484,-0.058765796,0.307519606,-0.134527191,-0.178481123,0.030466036,0.197420666,-0.049941549,-0.074704997,0.127178177,-0.267348822,0.204010025,0.06912188,-0.291818392,344.4307712,3252,4888,5728,10608.67772,0.187685564
0.155,300,1,0.152083749,0.431657212,14.35399692,0.179579485,0.105045161,-0.414693039,-8.932226367,4.594158983,-0.438032887,0.69787226,0.32243049,-0.191109383,-0.104377675,0.29954867,-0.344440432,-0.035683117,0.311550722,-0.473447457,0.36551189,-0.089295399,-0.132602423,0.280687048,-0.401432702,0.303757512,-0.063595445,-0.045380881,0.188586461,-0.37351321,0.291651881,0.018654054,-0.260963932,277.3626174,3231.105309,5130.37842,6544.821705,10594,0.183539531
0.165,280.5,1,0.20717275,0.471894421,16.16708919,0.254406153,0.146827283,-0.450514678,-8.41941235,4.649304015,-0.813585179,0.643592289,0.269991533,-0.05768719,-0.161842494,0.521394149,-0.402394382,0.021121854,0.499922577,-0.791941438,0.447486933,-0.18970821,-0.225381742,0.332471779,-0.40771183,0.399822235,0.031776244,-0.155943746,0.043733263,-0.162547111,0.296670334,-0.183886539,-0.099680979,368.9993569,3527.47059,5675.178828,8255.666452,10640.82246,0.183537802
0.175,261,1,0.21505565,0.5621727,13.78551816,0.409472327,0.12439457,-0.48557638,-8.017569918,4.992945824,-0.956904623,0.348339555,0.273831904,-0.066336385,-0.578843646,0.620515806,-0.46339484,-0.149810575,0.747881188,-0.835491543,0.619209018,0.040676166,-0.74758879,0.53565335,-0.078026531,0.041902035,-0.11835944,0.089224017,0.036455476,-0.191500323,0.308461172,-0.260313641,0.034017898,299.4160343,4297.844453,5761.844453,8226,10802.94939,0.187518465
0.185,261,1,0.132277716,0.440703762,11.77475647,0.163184133,0.160801442,-0.502716848,-7.544484489,4.574349724,-1.22827412,0.684679754,-0.410646548,0.010229533,-0.525780774,0.285388439,-0.346547476,-0.066720921,0.829211276,-0.837976209,0.55978897,-0.057636485,-0.630271852,0.784470853,-0.337195148,-0.014381686,0.062513844,-0.061148581,0.121865923,-0.10830407,0.055170351,-0.081947084,0.043947594,382.0660774,4346.676706,5847.742783,9011.570974,11248.45865,0.187723219
0.195,278,1,0.192123802,0.520913528,14.33026684,0.230800959,0.062446569,-0.502550057,-7.584485379,4.558038392,-1.03058461,0.762312055,-0.513043571,0.128878027,-0.461017312,0.287453796,-0.12770886,-0.246739163,0.819609111,-0.740867443,0.457397517,-0.162997581,-0.596243363,0.870171074,-0.336893927,-0.122151519,0.14255837,-0.047656344,0.135499178,-0.134068654,-0.035725793,0.075259844,-0.00183568,545.1975892,4083.925194,5956.472318,11043.33981,12081.12648,0.195354276
0.205,295,1,0.189034337,0.544342288,15.8127165,0.36459381,0.130690628,-0.475095715,-7.607456248,4.483744294,-1.027949101,0.8879729,-0.502971109,0.155724337,-0.382102245,0.230573768,-0.103255561,-0.165662251,0.687838042,-0.723388102,0.474603686,-0.187497095,-0.622794116,0.839834563,-0.285346827,-0.05991043,0.050833768,-0.110790946,0.32182301,-0.188339194,-0.176949532,0.179223596,0.108317566,737.820878,3307.131512,5861.801951,11256.17912,12229.24566,0.197252371
0.215,295.5,1,0.187611271,0.445248951,12.85738432,0.238139841,0.102797633,-0.457305247,-8.165294695,4.641506837,-0.78041403,0.900162654,0.124977248,0.119146982,-0.264795766,0.249468393,-0.422560586,-0.276400574,0.751156043,-0.572068117,0.332286098,0.055322037,-0.536884283,0.44103221,-0.258386448,0.158863207,0.137408746,-0.277164075,0.257537803,-0.165550142,-0.105614792,0.186380921,0.102751416,781.0935852,3516.451407,5863.122949,11234.68257,12166,0.199485173
0.225,296,1,0.117092142,0.316420852,3.606157288,0.115673341,0.081331968,-0.459223923,-8.313664953,5.149961372,-0.904428501,0.742060485,0.268691298,-0.137312023,0.070218217,0.011496613,-0.116431539,-0.173071197,0.234745668,-0.07849185,-0.010815893,-0.03281069,-0.263214991,0.085250027,0.024451359,0.168461595,-0.0278059,-0.084332251,0.167092009,-0.268289648,0.042303852,0.221241498,-0.131840226,861,3838.522445,6122.388802,11219,12145.20204,0.429731268
0.235,296,1,0.134491008,0.362256467,2.726466939,0.119814369,0.104023281,-0.459829177,-8.085407202,4.955077508,-1.001035549,0.965650433,0.076115846,-0.08945714,0.083775042,-0.043961273,0.140999638,-0.282125203,0.125372807,0.146290696,-0.227331225,0.018888354,-0.154652632,-0.066948582,0.072096704,0.246350191,-0.129283227,-0.09358371,0.315270565,-0.410796851,0.079693297,0.30867772,-0.338485831,856.1602874,3780.090112,6223.112457,10122.22894,11901.39156,0.431411156
0.245,296,1,0.176768339,0.40885906,5.33502213,0.17957974,0.104613274,-0.46929532,-8.038307701,5.10429192,-1.096123428,0.691933809,-0.092180902,-0.150458686,-0.11491892,0.021569736,0.301098074,-0.44608737,0.240242689,0.160623486,-0.234271149,0.008498377,-0.121700979,-0.027696793,-0.023628451,0.314382934,-0.171163473,-0.153504505,0.472266367,-0.528495278,0.053239894,0.476863108,-0.50124672,759.8137116,3765.841587,5362,7554.564745,11455.95178,0.433558981
0.255,291,1,0.146698965,0.417027694,10.4363106,0.188513506,0.120921931,-0.478191603,-7.85280787,5.222911806,-1.300895278,0.368536233,-0.282796823,-0.187466208,-0.062241873,-0.074108186,0.347874087,-0.274688475,0.121501392,0.142909217,-0.137462383,-0.127751617,-0.008418384,0.093323207,-0.261905041,0.333851815,0.011015746,-0.332546025,0.523695333,-0.4129683,-0.119495169,0.495954361,-0.330630394,469.4302935,3806.204903,5362,10825.17278,11707.7702,0.439989472
0.265,285,1,0.158125087,0.49343498,13.6104432,0.291937193,0.090521737,-0.493431066,-7.866362797,5.420954811,-1.356024507,0.008365191,-0.0836113,-0.266229826,-0.030071357,0.103187738,0.202673959,-0.100816309,0.068015287,-0.025148753,0.066734971,-0.300797929,0.047092299,0.267303477,-0.57085169,0.458208958,0.128846891,-0.487087472,0.550442348,-0.283453496,-0.236959477,0.446834618,-0.186010411,532.3029162,3712.442605,5353.557395,8419,10603.23792,0.468178768
0.275,283,1,0.181938662,0.533033401,13.48359218,0.236924501,0.102585835,-0.521089053,-7.821887272,5.443052122,-1.632787369,-0.00053671,0.088613909,-0.465879147,0.141018332,0.34888647,-0.028973298,-0.006669744,0.119233491,-0.286975887,0.220439501,-0.199517476,-0.18681608,0.352910091,-0.463956369,0.313919686,0.12861917,-0.396071562,0.581324632,-0.386303096,-0.211949111,0.499514164,-0.250090684,880.9762592,3758.837783,5322.884273,8219.97727,10566.90702,0.477596468
0.285,281,1,0.199834293,0.554419913,12.12573372,0.301607238,0.108736294,-0.533360313,-7.83443774,5.468776671,-1.693469084,0.080182073,0.104065651,-0.514987607,0.237448894,0.479563563,-0.143303318,0.040119563,0.123376254,-0.393502891,0.336964854,-0.169740318,-0.31013157,0.4221422,-0.34074731,0.110308472,0.162364769,-0.266563376,0.455983827,-0.339872286,-0.14290937,0.411684679,-0.292630782,987.7478363,3833.56684,5302.677918,7346.645413,10678.14109,0.477654705
0.295,278.5,1,0.135074243,0.434621774,6.854359027,0.131022906,0.100049825,-0.513629649,-7.806340396,5.405224614,-1.727502365,0.185501294,0.019662686,-0.577224854,0.347233121,0.272568356,-0.088718338,0.031138475,0.004081654,-0.242497099,0.256041112,-0.165796167,-0.189987514,0.374225646,-0.335237436,0.084102429,0.110776708,-0.173923383,0.351798636,-0.302264395,-0.018812708,0.262548379,-0.290350059,1101.332519,3930.455909,5142.519413,7377.950644,10870.59345,0.477655696
0.305,275,1,0.131063103,0.390601216,7.81548361,0.113710227,0.089942718,-0.488367173,-7.832746759,5.330066566,-1.675439256,0.267544986,-0.123301172,-0.549005109,0.512543396,0.15008178,-0.016250158,0.074855578,-0.138332649,-0.112381463,0.191074829,-0.192038224,-0.041373702,0.242783095,-0.341468783,0.1850733,0.016281369,-0.093827806,0.289368034,-0.334479654,0.079709817,0.176183712,-0.24702899,1246.609526,3872.681465,5252.458683,7443.513772,10846.51377,0.477689496
0.315,271.5,1,0.117252278,0.427890625,9.8702824,0.15521563,0.086817425,-0.480093469,-7.956192438,5.330499311,-1.687500469,0.200886664,-0.173239037,-0.613847367,0.695291963,0.082150068,-0.091375015,0.172517749,-0.322101485,0.032155346,0.17825757,-0.334669175,0.208530383,0.107103346,-0.321305932,0.19902652,0.026743123,-0.024414796,0.123431298,-0.267768679,0.089365816,0.144791507,-0.146271254,1357,3863.065434,5362,7386.079767,10810,0.551889132
0.325,267.5,1,0.11463908,0.434615675,11.73623355,0.144589524,0.087662764,-0.474050031,-8.071919063,5.322094552,-1.696669022,0.162252942,-0.147833005,-0.687551077,0.683223269,0.024854272,-0.098814313,0.261450597,-0.43156569,0.094729802,0.16712732,-0.367433533,0.301474099,0.0426026,-0.251446018,0.173199312,-0.015115845,0.032858696,0.070776615,-0.245230998,0.071730526,0.128781563,-0.078545774,1357,3943.850223,5362,7287.358262,10815.50804,0.601685373
0.335,263,1,0.117725494,0.41766996,9.357711578,0.149519518,0.119596002,-0.468306294,-8.229281868,5.314789978,-1.530231863,0.157600315,-0.197374888,-0.658505446,0.5065004,-0.097454679,0.045564505,0.275281278,-0.419926674,0.171091834,0.063647042,-0.361580952,0.373284285,-0.035872737,-0.233428097,0.256897302,-0.114053177,-0.009992808,0.187439996,-0.267424661,0.020878507,0.212949387,-0.115121095,1362.018945,4128.056835,5593.221624,7541.738336,10847.98106,0.62070269
0.345,260,1,0.119110215,0.49031328,10.5843048,0.17936352,0.091253456,-0.473409428,-8.344975068,5.101473049,-1.199290176,0.336743904,-0.205334056,-0.387028186,0.364047452,-0.202181767,0.064753423,0.129785358,-0.109584438,0.066875475,0.021472597,-0.215009318,0.179715052,0.071336885,-0.371942398,0.266746825,-0.02633441,-0.140758765,0.335204481,-0.295196393,0.007256922,0.337143304,-0.314405625,1402.212253,4226.09285,7100.284284,7844.006597,10517.35058,0.672514498
0.355,257.5,1,0.116563369,0.49906936,6.076614107,0.13057916,0.088362312,-0.485867562,-8.408337082,4.825442906,-1.014773024,0.606616437,-0.051851924,-0.074117693,0.249859384,-0.21134841,-0.034186229,-0.102091392,0.190821259,-0.068299814,0.030564941,-0.006611746,-0.114103561,0.215792944,-0.413088844,0.239819541,0.144022316,-0.300994112,0.411897032,-0.35456586,-0.005682098,0.406220041,-0.419151364,1404.836975,4072.863582,5059.203782,7343,8027.959244,0.689728621
0.365,255,1,0.093197454,0.523946686,4.830094532,0.189915121,0.102939948,-0.487357979,-8.47514262,4.796293344,-0.948193189,0.787057363,0.081001231,-0.019188197,0.268047335,-0.170274172,-0.141627863,-0.240426031,0.232253746,-0.143280308,0.070276311,0.110494826,-0.160795711,0.192043847,-0.336185921,0.154696571,0.218458591,-0.290125408,0.354447033,-0.348033594,-0.018114284,0.385555712,-0.379101819,1238.345014,3892.631209,5254,7387.437074,8222.005549,0.689834359
0.375,253,1,0.103636994,0.490144608,3.426404123,0.145736329,0.091572922,-0.484358183,-8.603435828,4.846728952,-0.810564411,0.733383049,0.112357776,-0.028160407,0.2710566,-0.150312287,-0.228017821,-0.24103486,0.204891056,-0.218515402,0.207147661,0.156406829,-0.220726164,0.176559154,-0.294861675,0.054333356,0.243014215,-0.166250732,0.251210407,-0.312330164,-0.009223458,0.312793679,-0.302511774,1103.120266,3833,5254,7836.557156,10805.37054,0.688945266
0.385,251.5,1,0.106778717,0.326998661,7.041639419,0.127855875,0.117296756,-0.495027513,-8.815004774,4.904928674,-0.637778443,0.546271664,0.215173124,-0.014812648,0.194636042,-0.071012577,-0.334846,-0.154079335,0.219796992,-0.362212179,0.328487425,0.206432654,-0.383709153,0.272048971,-0.269143413,0.026236182,0.302549766,-0.19683244,0.204998957,-0.248428748,-0.098450669,0.282156873,-0.130902167,866.2424983,3702.830121,5246.27958,7267.293894,10746.31666,0.669110544
0.395,250.5,1,0.131341769,0.502698523,7.80599978,0.249005661,0.082445398,-0.519931456,-8.94230966,4.965649829,-0.567408239,0.555924853,0.377528685,-0.155746971,0.223608344,0.033965332,-0.473940033,-0.068382849,0.242055942,-0.501106498,0.393265664,0.186625574,-0.400066316,0.349935331,-0.302155934,0.045611469,0.356128491,-0.298594412,0.19336998,-0.170638049,-0.18411788,0.298507014,-0.033939849,649.9712427,1760.280002,5138.572702,7382.028757,10773.25314,0.617992895
0.405,249.5,1,0.146845361,0.520827348,7.921813771,0.239137146,0.092917106,-0.524038869,-9.110759397,4.836237363,-0.621624751,0.64388697,0.413895566,-0.296510523,0.309381713,-0.040741821,-0.555323904,0.00061047,0.064274041,-0.358220916,0.426815639,0.045338612,-0.174645855,0.307332875,-0.386462489,0.111347123,0.298874673,-0.313283471,0.168978915,-0.137976086,-0.103569452,0.252322622,-0.098406932,1528.074016,3689.719741,5343.488782,6467.197332,10892.80943,0.610813623
0.415,248,1,0.143589638,0.498729915,7.755551751,0.198574243,0.095617526,-0.507834054,-9.21373796,4.586801199,-0.71700942,0.764621489,0.343295184,-0.36199914,0.385747324,-0.081472858,-0.541150527,0.128350357,-0.165934142,-0.176781826,0.381671347,-0.04747217,0.01381104,0.226674256,-0.352737238,0.034360524,0.152326188,-0.185604568,0.112652853,-0.033220934,-0.045547833,0.159931066,-0.096833281,388,1656.327851,3744.221661,6655.106191,10811.10619,0.592353104
