frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU04_c, AU12_c, AU15_c, AU23_c, AU28_c, AU45_c
1, 0, 0.984316, 1, 0.747628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
2, 0.0417083, 0.984633, 1, 0.862434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
3, 0.0834167, 0.98564, 1, 0.845186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.558869, 0, 0, 0, 0, 1, 0, 0, 0, 0
4, 0.125125, 0.984785, 1, 0.790338, 0, 0, 0, 0, 0.629518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
5, 0.166833, 0.985374, 1, 0.788922, 0, 0, 0, 0, 0.526331, 0, 0.506415, 0, 0.578779, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
6, 0.208542, 0.985779, 1, 0.695501, 0, 0, 0, 0, 0.665923, 0, 0.523329, 0, 0.64399, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
7, 0.25025, 0.985534, 1, 0.796108, 0, 0, 0, 0, 0, 0, 0, 0, 0.633313, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
8, 0.291958, 0.986846, 1, 0.815509, 0, 0, 0, 0, 0.756367, 0, 0, 0, 0.610775, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
9, 0.333667, 0.987395, 1, 0.847293, 0, 0, 0, 0, 0.514456, 0, 0, 0, 0.613633, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
10, 0.375375, 0.985132, 1, 1.16214, 0, 0, 0, 0, 0.64577, 0, 0.527452, 0, 0.733931, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
11, 0.417083, 0.986908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
12, 0.458792, 0.985054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
13, 0.5005, 0.984737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
14, 0.542208, 0.984973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
