frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
1, 0, 0.984316, 1, 0.229942, 0.0637127, -0.971117, 0.0483064, 0.0814658, -0.995505, -0.13573, 0.202362, -0.969859, -0.312571, 0.223615, -0.923199
2, 0.0417083, 0.984633, 1, 0.237397, 0.0652077, -0.969222, 0.0448001, 0.0862642, -0.995265, -0.133649, 0.205791, -0.969427, -0.321064, 0.229065, -0.918938
3, 0.0834167, 0.98564, 1, 0.243045, 0.0728323, -0.967277, 0.0516933, 0.0861679, -0.994939, -0.120353, 0.203868, -0.971572, -0.308061, 0.219037, -0.925808
4, 0.125125, 0.984546, 1, 0.245564, 0.0790819, -0.966149, 0.0424698, 0.0829011, -0.995652, -0.124394, 0.208564, -0.970066, -0.32382, 0.213474, -0.921721
5, 0.166833, 0.985392, 1, 0.238357, 0.0791921, -0.967943, 0.0522548, 0.0926544, -0.994326, -0.139204, 0.208068, -0.968158, -0.321093, 0.221552, -0.920768
6, 0.208542, 0.985838, 1, 0.242062, 0.0931565, -0.965778, 0.0527757, 0.102025, -0.993381, -0.14056, 0.215653, -0.966301, -0.325803, 0.224057, -0.918505
7, 0.25025, 0.985585, 1, 0.251922, 0.0879041, -0.963747, 0.059562, 0.103229, -0.992873, -0.137458, 0.208631, -0.968286, -0.32568, 0.223067, -0.918789
8, 0.291958, 0.986842, 1, 0.241071, 0.0899089, -0.966334, 0.0614256, 0.0906693, -0.993985, -0.151016, 0.208378, -0.966319, -0.32725, 0.207673, -0.921835
9, 0.333667, 0.987312, 1, 0.245113, 0.0933877, -0.964986, 0.0647998, 0.0819265, -0.99453, -0.147227, 0.209425, -0.966677, -0.325022, 0.195661, -0.925245
10, 0.375375, 0.985176, 1, 0.237, 0.0908131, -0.967256, 0.064107, 0.098773, -0.993043, -0.153188, 0.196304, -0.968503, -0.322618, 0.200793, -0.924986
11, 0.417083, 0.98689, 1, 0.24656, 0.0995736, -0.963999, 0.0580231, 0.110555, -0.992175, -0.154917, 0.219403, -0.963257, -0.339031, 0.226425, -0.913121
12, 0.458792, 0.985059, 1, 0.265262, 0.0982148, -0.959161, 0.0667738, 0.0995764, -0.992787, -0.161445, 0.242647, -0.956587, -0.355537, 0.2406, -0.903164
13, 0.5005, 0.984807, 1, 0.268966, 0.101246, -0.957813, 0.0772037, 0.107519, -0.991201, -0.172012, 0.259132, -0.950401, -0.358837, 0.263086, -0.895557
14, 0.542208, 0.984973, 1, 0.272343, 0.0972908, -0.957269, 0.0852302, 0.104769, -0.990838, -0.17934, 0.265555, -0.947269, -0.361264, 0.271816, -0.891967
15, 0.583917, 0.985173, 1, 0.265891, 0.101137, -0.958683, 0.0882164, 0.0994333, -0.991126, -0.18897, 0.273038, -0.94326, -0.362127, 0.27081, -0.891923
16, 0.625625, 0.988705, 1, 0.260586, 0.106994, -0.959504, 0.085234, 0.0997206, -0.991358, -0.182952, 0.263052, -0.947276, -0.3546, 0.256046, -0.899277
17, 0.667333, 0.993371, 1, 0.245546, 0.110645, -0.96305, 0.0855379, 0.113215, -0.989882, -0.187585, 0.242288, -0.951897, -0.343395, 0.24499, -0.906675
18, 0.709042, 0.992911, 1, 0.2334, 0.110236, -0.966112, 0.0824371, 0.104824, -0.991068, -0.191194, 0.235211, -0.952954, -0.338745, 0.229296, -0.912511
19, 0.75075, 0.992645, 1, 0.229761, 0.0995152, -0.968146, 0.0703596, 0.099083, -0.992589, -0.191909, 0.241669, -0.951192, -0.346852, 0.240768, -0.90649
20, 0.792458, 0.990424, 1, 0.242569, 0.0865793, -0.966263, 0.0885418, 0.0987666, -0.991164, -0.193114, 0.255527, -0.947319, -0.342097, 0.267273, -0.900852
21, 0.834167, 0.988594, 1, 0.242583, 0.0881033, -0.966122, 0.0890632, 0.0989516, -0.991099, -0.204991, 0.255813, -0.944742, -0.353113, 0.265666, -0.897069
22, 0.875875, 0.986995, 1, 0.248735, 0.0872753, -0.964632, 0.0879224, 0.0954311, -0.991546, -0.201051, 0.253449, -0.946225, -0.356628, 0.26034, -0.89724
23, 0.917583, 0.989437, 1, 0.241929, 0.0737438, -0.967488, 0.0945444, 0.0825706, -0.99209, -0.205044, 0.25102, -0.946016, -0.347706, 0.258364, -0.901304
24, 0.959292, 0.989211, 1, 0.229147, 0.0779877, -0.970263, 0.0981866, 0.0826709, -0.991728, -0.209892, 0.250754, -0.945023, -0.336946, 0.254181, -0.906565
25, 1.001, 0.989829, 1, 0.228438, 0.0765278, -0.970546, 0.100958, 0.0729952, -0.992209, -0.208254, 0.255297, -0.944168, -0.332668, 0.251092, -0.909002
26, 1.04271, 0.989649, 1, 0.227856, 0.0737129, -0.970901, 0.0936697, 0.0803354, -0.992357, -0.202936, 0.260313, -0.943957, -0.333011, 0.266332, -0.904528
27, 1.08442, 0.991035, 1, 0.261553, 0.0640696, -0.96306, 0.0862664, 0.0561335, -0.994689, -0.184222, 0.261938, -0.947339, -0.355764, 0.254097, -0.89937
28, 1.12613, 0.988569, 1, 0.233298, 0.0473353, -0.971252, 0.0983038, 0.0590839, -0.993401, -0.188384, 0.259004, -0.947327, -0.319563, 0.269974, -0.908292
29, 1.16783, 0.988235, 1, 0.224239, 0.052248, -0.973133, 0.0891541, 0.0629657, -0.994026, -0.180904, 0.274587, -0.944392, -0.312363, 0.283882, -0.906554
30, 1.20954, 0.988006, 1, 0.222417, 0.0527754, -0.973522, 0.090478, 0.0487431, -0.994705, -0.16792, 0.283367, -0.944196, -0.297846, 0.278571, -0.913064
31, 1.25125, 0.988501, 1, 0.229897, 0.0490705, -0.971977, 0.0592989, 0.0432755, -0.997302, -0.162508, 0.292416, -0.942382, -0.329635, 0.28513, -0.900023
32, 1.29296, 0.987603, 1, 0.22566, 0.0483392, -0.973006, 0.0769909, 0.0679794, -0.994712, -0.14675, 0.2898, -0.94577, -0.291662, 0.308209, -0.905506
33, 1.33467, 0.988055, 1, 0.223173, 0.0502234, -0.973484, 0.0724711, 0.0643975, -0.995289, -0.149664, 0.284128, -0.947033, -0.29684, 0.297063, -0.907546
34, 1.37637, 0.988235, 1, 0.215908, 0.0495809, -0.975154, 0.0699211, 0.0702867, -0.995073, -0.155204, 0.277279, -0.948171, -0.297198, 0.295897, -0.90781
35, 1.41808, 0.988577, 1, 0.216028, 0.0482346, -0.975195, 0.0548647, 0.0751951, -0.995658, -0.147085, 0.264426, -0.953124, -0.303655, 0.28842, -0.908079
36, 1.45979, 0.989218, 1, 0.219384, 0.0502207, -0.974345, 0.0487565, 0.0813631, -0.995491, -0.140163, 0.261355, -0.955012, -0.305901, 0.289064, -0.90712
37, 1.5015, 0.980753, 1, 0.217006, 0.0515728, -0.974807, 0.0463374, 0.093193, -0.994569, -0.141918, 0.257143, -0.955896, -0.306801, 0.295279, -0.904811
38, 1.54321, 0.987625, 1, 0.221264, 0.0630543, -0.973173, 0.0445551, 0.0928415, -0.994684, -0.160074, 0.249363, -0.955089, -0.330799, 0.275382, -0.902628
39, 1.58492, 0.981059, 1, 0.239533, 0.0736594, -0.96809, 0.0403315, 0.0937272, -0.994781, -0.139389, 0.221048, -0.965251, -0.333607, 0.237529, -0.912297
40, 1.62663, 0.972857, 1, 0.236793, 0.0836724, -0.96795, 0.0352491, 0.0985142, -0.994511, -0.133586, 0.195805, -0.971502, -0.330679, 0.207011, -0.92076
41, 1.66833, 0.972696, 1, 0.236107, 0.0969512, -0.966879, 0.0266255, 0.107147, -0.993887, -0.145778, 0.201803, -0.968517, -0.349913, 0.207122, -0.913598
42, 1.71004, 0.978138, 1, 0.238227, 0.0993263, -0.966117, 0.0366743, 0.11201, -0.99303, -0.159632, 0.199953, -0.966714, -0.355473, 0.20833, -0.911174
43, 1.75175, 0.989412, 1, 0.24081, 0.0839324, -0.966936, 0.0475475, 0.10312, -0.993532, -0.181489, 0.22286, -0.957808, -0.36785, 0.237957, -0.898923
44, 1.79346, 0.994023, 1, 0.245302, 0.106069, -0.963627, 0.0333482, 0.0797686, -0.996255, -0.1543, 0.23841, -0.958828, -0.362241, 0.208228, -0.908528
45, 1.83517, 0.992337, 1, 0.208886, 0.0969338, -0.973124, 0.03891, 0.0904628, -0.995139, -0.115058, 0.229255, -0.966542, -0.283112, 0.220165, -0.933475
46, 1.87688, 0.991697, 1, 0.19818, 0.0872634, -0.976273, 0.011417, 0.0762405, -0.997024, -0.0924737, 0.243624, -0.965451, -0.277353, 0.229792, -0.932883
47, 1.91858, 0.98883, 1, 0.20269, 0.0763144, -0.976265, -0.00286439, 0.0653168, -0.99786, -0.069415, 0.267725, -0.960992, -0.273259, 0.254267, -0.927727
48, 1.96029, 0.989555, 1, 0.202217, 0.0799429, -0.976073, -0.00479345, 0.0750182, -0.997171, -0.0660845, 0.274316, -0.959366, -0.27119, 0.267411, -0.924633
49, 2.002, 0.988995, 1, 0.205181, 0.0835765, -0.975149, -0.000921117, 0.0761043, -0.997099, -0.0655226, 0.287627, -0.955499, -0.269952, 0.278472, -0.921726
